ride_id,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_distance,fare_amount
1,1,-73.9857,40.7484,-73.9815,40.7527,1.2,7.5
2,2,-73.9822,40.7560,-73.9778,40.7612,1.0,6.5
3,1,-73.9790,40.7430,-73.9735,40.7480,1.3,8.0
4,3,-73.9885,40.7550,-73.9820,40.7595,1.1,7.0
5,1,-73.9810,40.7495,-73.9765,40.7540,1.4,8.5
6,2,-73.9850,40.7510,-73.9800,40.7555,1.2,7.8
7,1,-73.9780,40.7440,-73.9725,40.7490,1.3,8.2
8,2,-73.9875,40.7535,-73.9825,40.7580,1.1,7.1
9,1,-73.9820,40.7475,-73.9770,40.7520,1.4,8.7
10,3,-73.9860,40.7500,-73.9810,40.7545,1.2,7.6
